Incident Id,Received,IncidentType,ProductType,NotifierType,OriginCountry,IncidentSource
I-005-382,17/03/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Microbiological Contamination
I-005-383,17/03/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Local Authority,United Kingdom,Investigation Ongoing
I-005-384,20/03/23,Pathogenic Micro-Organisms,Herbs & Spices,Port Health Authority (PHA),Malaysia,Microbiological Contamination
I-005-385,20/03/23,ALLERGEN: Soya,Herbs & Spices,Local Authority,,Labelling Packaging Error
I-005-386,20/03/23,ALLERGEN: Cereals containing gluten,Cereals & Bakery Products,Local Authority,United Kingdom,Unknown
I-005-387,20/03/23,ALLERGEN: Soya,Herbs & Spices,Local Authority,,Unknown
I-005-388,20/03/23,ALLERGEN: Soya,Confectionery,Local Authority,India,Labelling Packaging Error
I-005-389,20/03/23,ALLERGEN: Cereals containing gluten,Prepared Dishes & Snacks,Local Authority,United Kingdom,Unknown
I-005-390,20/03/23,ALLERGEN: Soya,Prepared Dishes & Snacks,Local Authority,India,Unknown
I-005-391,20/03/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Animal & Plant Health Agency (APHA),United Kingdom,Veterinary Medicine
I-005-392,20/03/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,,Use of Unauthorised Ingredient
I-005-393,21/03/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,RASFF,France,Microbiological Contamination
I-005-394,20/03/23,Foreign Bodies,Cereals & Bakery Products,RASFF,Thailand,Human Error
I-005-395,20/03/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,RASFF,United Kingdom,Microbiological Contamination
I-005-396,21/03/23,ALLERGEN: Peanuts,Prepared Dishes & Snacks,Local Authority,United Kingdom,Human Error
I-005-397,21/03/23,ALLERGEN: Milk,Prepared Dishes & Snacks,National Health Service (NHS),United Kingdom,Human Error
I-005-399,22/03/23,Poor or Insufficient Controls,Fish & Fish Products,Industry,Iran,Unauthorised Premises/Process
I-005-400,22/03/23,ALLERGEN: Cereals containing gluten,Prepared Dishes & Snacks,Industry,United Kingdom,Labelling Packaging Error
I-005-401,22/03/23,Labelling Absent / Incomplete / Incorrect,Confectionery,Local Authority,Not Easily Identified,Fraud
I-005-402,22/03/23,ALLERGEN: Milk,Cereals & Bakery Products,Local Authority,India,Labelling Packaging Error
I-005-403,22/03/23,ALLERGEN: Milk,Prepared Dishes & Snacks,Local Authority,India,Labelling Packaging Error
I-005-404,22/03/23,Pathogenic Micro-Organisms,Egg & Egg Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-405,23/03/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-406,23/03/23,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,Local Authority,United Kingdom,Microbiological Contamination
I-005-407,24/03/23,ALLERGEN: Sesame seeds,Cereals & Bakery Products,Industry,France,Human Error
I-005-408,23/03/23,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Local Authority,United Kingdom,Labelling Packaging Error
I-005-409,24/03/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-410,24/03/23,ALLERGEN: Crustaceans,Crustaceans & Products Thereof,Local Authority,Thailand,Human Error
I-005-411,23/03/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-412,23/03/23,ALLERGEN: Nuts,Confectionery,RASFF,Belgium,Labelling Packaging Error
I-005-413,23/03/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),FSA England,United Kingdom,Microbiological Contamination
I-005-414,24/03/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,Other,Thailand,Production Fault
I-005-415,24/03/23,Not Determined / Other,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-005-416,23/03/23,Food Additives & Flavourings,Confectionery,EU Member States,Turkey,Use of Unauthorised Ingredient
I-005-417,23/03/23,ALLERGEN: Non-regulated allergen reactions,Meat & Meat Products (other than poultry),FSA England,Romania,Labelling Packaging Error
I-005-418,24/03/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Medicines & Healthcare products Regulatory Agency (MHRA),United Kingdom,Unknown
I-005-419,24/03/23,Chemical Contamination (other),Cereals & Bakery Products,Industry,Germany,Natural Chemical Contamination
I-005-420,24/03/23,Chemical Contamination (other),Fish & Fish Products,Port Health Authority (PHA),Vietnam,Migration of Chemicals
I-005-421,28/03/23,Labelling Absent / Incomplete / Incorrect,Honey & Royal Jelly,Port Health Authority (PHA),China,Use of Unauthorised Ingredient
I-005-422,24/03/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),RASFF,Poland,Production Fault
I-005-423,24/03/23,Chemical Contamination (other),Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Natural Chemical Contamination
I-005-424,17/03/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Medicines & Healthcare products Regulatory Agency (MHRA),United Kingdom,Unknown
I-005-425,27/03/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Local Authority,United Kingdom,Spill/Leak
I-005-426,27/03/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Industry,Poland,Microbiological Contamination
I-005-427,27/03/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Marine Management Organisation (MMO),United Kingdom,Microbiological Contamination
I-005-428,27/03/23,Non-Pathogenic Micro-Organisims,Prepared Dishes & Snacks,Local Authority,United Kingdom,Microbiological Contamination
I-005-429,27/03/23,Chemical Contamination (other),Cereals & Bakery Products,Industry,Spain,Natural Chemical Contamination
I-005-430,27/03/23,Pathogenic Micro-Organisms,Milk & Milk Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-431,27/03/23,Chemical Contamination (other),Fruits & Vegetables,RASFF,Colombia,Natural Chemical Contamination
I-005-432,27/03/23,Mycotoxins,Nuts / Nut Products / Seeds,RASFF,Spain,Natural Chemical Contamination
I-005-433,28/03/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-434,28/03/23,Biotoxins (other),Cereals & Bakery Products,Industry,Spain,Natural Chemical Contamination
I-005-435,28/03/23,Mycotoxins,Prepared Dishes & Snacks,Industry,Turkey,Microbiological Contamination
I-005-436,27/03/23,Biotoxins (other),Cereals & Bakery Products,Industry,Spain,Natural Chemical Contamination
I-005-437,28/03/23,ALLERGEN: Cereals containing gluten,Prepared Dishes & Snacks,Local Authority,United Kingdom,Production Fault
I-005-438,27/03/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Port Health Authority (PHA),New Zealand,Microbiological Contamination
I-005-439,27/03/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Port Health Authority (PHA),New Zealand,Microbiological Contamination
I-005-440,28/03/23,Heavy Metals,Feed Materials,General Public,United Kingdom,Metals - Other
I-005-441,28/03/23,Pathogenic Micro-Organisms,Dietetic Foods / Food Supplements / Fortified Foods,National Health Service (NHS),United Kingdom,Investigation Ongoing
I-005-442,28/03/23,ALLERGEN: Cereals containing gluten,Prepared Dishes & Snacks,Local Authority,United Kingdom,Labelling Packaging Error
I-005-443,29/03/23,ALLERGEN: Milk,Other Food Product / Mixed,Local Authority,India,Human Error
I-005-444,29/03/23,Pathogenic Micro-Organisms,Fruits & Vegetables,Public Health England (PHE),Thailand,Microbiological Contamination
I-005-445,29/03/23,ALLERGEN: Nuts,Nuts / Nut Products / Seeds,Industry,United Kingdom,Labelling Packaging Error
I-005-446,30/03/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Other,United Kingdom,Use of Unauthorised Ingredient
I-005-447,29/03/23,Pesticide Residues,Fruits & Vegetables,RASFF,Tanzania,Pesticides
I-005-448,30/03/23,ALLERGEN: Milk,Cocoa / Cocoa Preparations / Coffee / Tea,National Food Crime Unit (NFCU),United Kingdom,Human Error
I-005-449,30/03/23,ALLERGEN: Milk,Prepared Dishes & Snacks,Local Authority,United Kingdom,Labelling Packaging Error
I-005-450,30/03/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-451,30/03/23,Chemical Contamination (other),Dietetic Foods / Food Supplements / Fortified Foods,RASFF,France,Natural Chemical Contamination
I-005-452,30/03/23,Pesticide Residues,Fruits & Vegetables,RASFF,United Arab Emirates,Pesticides
I-005-453,30/03/23,Pesticide Residues,Cereals & Bakery Products,RASFF,United Kingdom,Pesticides
I-005-454,31/03/23,Poor or Insufficient Controls,Fish & Fish Products,Local Authority,Not Easily Identified,Unauthorised Premises/Process
I-005-455,03/04/23,ALLERGEN: Mustard,Other Food Product / Mixed,Local Authority,United Kingdom,Labelling Packaging Error
I-005-456,03/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),General Public,United Kingdom,Human Error
I-005-457,31/03/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-005-458,31/03/23,ALLERGEN: Celery,Herbs & Spices,RASFF,Spain,Unknown
I-005-459,31/03/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Romania,Microbiological Contamination
I-005-460,03/04/23,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Local Authority,Poland,Unknown
I-005-461,03/04/23,Food Additives & Flavourings,Prepared Dishes & Snacks,FSA England,United States,Use of Unauthorised Ingredient
I-005-462,03/04/23,Pathogenic Micro-Organisms,Fruits & Vegetables,FSA England,Thailand,Microbiological Contamination
I-005-463,04/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),RASFF,,Microbiological Contamination
I-005-464,04/04/23,Poor or Insufficient Controls,Milk & Milk Products,Local Authority,,Microbiological Contamination
I-005-465,04/04/23,Non-Pathogenic Micro-Organisims,Poultry Meat & Poultry Meat Products,Local Authority,Northern Ireland,Microbiological Contamination
I-005-466,04/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-467,04/04/23,Non-Pathogenic Micro-Organisims,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-468,04/04/23,ALLERGEN: Eggs,Egg & Egg Products,Local Authority,United Kingdom,Labelling Packaging Error
I-005-469,04/04/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-471,05/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Veterinary Medicine
I-005-472,05/04/23,Foreign Bodies,Confectionery,EU Member States,United Kingdom,Production Fault
I-005-473,04/04/23,Migration,Food Contact Materials,Local Authority,China,Migration of Chemicals
I-005-474,05/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,FSA England,Ukraine,Microbiological Contamination
I-005-475,06/04/23,ALLERGEN: Milk,Prepared Dishes & Snacks,Local Authority,Bulgaria,Labelling Packaging Error
I-005-476,05/04/23,Chemical Contamination (other),Nuts / Nut Products / Seeds,RASFF,Austria,Natural Chemical Contamination
I-005-477,05/04/23,Food Additives & Flavourings,Non-Alcoholic Beverages,RASFF,Netherlands,Use of Unauthorised Ingredient
I-005-478,06/04/23,Foreign Bodies,Poultry Meat & Poultry Meat Products,Local Authority,Netherlands,Production Fault
I-005-479,06/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Industry,United Kingdom,Fraud
I-005-480,05/04/23,Non-Pathogenic Micro-Organisims,Prepared Dishes & Snacks,Local Authority,Germany,Microbiological Contamination
I-005-481,06/04/23,Residues of Veterinary Medicinal Products,Milk & Milk Products,"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Veterinary Medicine
I-005-482,06/04/23,ALLERGEN: Milk,Cereals & Bakery Products,Industry,Italy,Production Fault
I-005-483,06/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Industry,United Kingdom,Fraud
I-005-484,06/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Industry,United Kingdom,Fraud
I-005-485,06/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Industry,United Kingdom,Fraud
I-005-486,06/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Industry,United Kingdom,Fraud
I-005-487,06/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-488,06/04/23,Pesticide Residues,Fruits & Vegetables,RASFF,China,Pesticides
I-005-489,07/04/23,ALLERGEN: Milk,Cereals & Bakery Products,Industry,United Kingdom,Labelling Packaging Error
I-005-490,07/04/23,Pesticide Residues,Cereals & Bakery Products,RASFF,United Kingdom,Pesticides
I-005-491,11/04/23,Food Additives & Flavourings,Fruits & Vegetables,Other,Taiwan,Labelling Packaging Error
I-005-492,11/04/23,Food Additives & Flavourings,Confectionery,Local Authority,Canada,Use of Unauthorised Ingredient
I-005-493,11/04/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-494,11/04/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-495,11/04/23,Food Additives & Flavourings,Other Food Product / Mixed,Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-005-496,11/04/23,Pathogenic Micro-Organisms,Fish & Fish Products,Industry,United Kingdom,Microbiological Contamination
I-005-497,11/04/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Spain,Use of Unauthorised Ingredient
I-005-498,11/04/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-499,07/04/23,Pesticide Residues,Cereals & Bakery Products,Local Authority,Nigeria,Pesticides
I-005-500,31/03/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-501,12/04/23,Pathogenic Micro-Organisms,Fish & Fish Products,Local Authority,Poland,Microbiological Contamination
I-005-502,12/04/23,Pesticide Residues,Fruits & Vegetables,RASFF,Tanzania,Pesticides
I-005-503,12/04/23,Migration,Food Contact Materials,RASFF,China,Migration of Chemicals
I-005-504,05/04/23,Chemical Contamination (other),Fish & Fish Products,Undefined,Scotland,Natural Chemical Contamination
I-005-505,13/04/23,Non-Pathogenic Micro-Organisims,Dietetic Foods / Food Supplements / Fortified Foods,Medicines & Healthcare products Regulatory Agency (MHRA),United Kingdom,Unknown
I-005-506,13/04/23,Composition,Honey & Royal Jelly,Port Health Authority (PHA),China,Investigation Ongoing
I-005-507,12/04/23,Pesticide Residues,Fruits & Vegetables,Health & Safety Executive,India,Pesticides
I-005-508,03/03/23,Foreign Bodies,Pet Food,General Public,Germany,Production Fault
I-005-509,13/04/23,Pathogenic Micro-Organisms,Fish & Fish Products,Local Authority,Bulgaria,Microbiological Contamination
I-005-510,13/04/23,Pesticide Residues,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Egypt,Pesticides
I-005-511,13/04/23,Pathogenic Micro-Organisms,Pet Food,RASFF,United Kingdom,Microbiological Contamination
I-005-512,12/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-513,13/04/23,Foreign Bodies,Prepared Dishes & Snacks,EU Member States,United Kingdom,Production Fault
I-005-514,14/04/23,Residues of Veterinary Medicinal Products,Feed Materials,Industry,United Kingdom,Veterinary Medicine
I-005-515,14/04/23,ALLERGEN: Eggs,Prepared Dishes & Snacks,Industry,Netherlands,Production Fault
I-005-516,14/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-517,14/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),National Food Crime Unit (NFCU),,Unauthorised Premises/Process
I-005-518,14/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Production Fault
I-005-519,14/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-520,17/04/23,Foreign Bodies,Other Food Product / Mixed,Local Authority,France,Unknown
I-005-521,17/04/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-522,17/04/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-523,17/04/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-524,17/04/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-525,17/04/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,National Food Crime Unit (NFCU),United Kingdom,Use of Unauthorised Ingredient
I-005-526,17/04/23,ALLERGEN: Peanuts,Soups / Broths / Sauces & Condiments,Local Authority,China,Labelling Packaging Error
I-005-527,17/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Microbiological Contamination
I-005-528,17/04/23,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Local Authority,China,Labelling Packaging Error
I-005-529,17/04/23,ALLERGEN: Milk,Confectionery,Other,United Kingdom,Labelling Packaging Error
I-005-530,17/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-531,17/04/23,ALLERGEN: Crustaceans,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,,Labelling Packaging Error
I-005-532,17/04/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United States,Use of Unauthorised Ingredient
I-005-533,18/04/23,Composition,Honey & Royal Jelly,FSA England,China,Fraud
I-005-534,18/04/23,Pathogenic Micro-Organisms,Fruits & Vegetables,Port Health Authority (PHA),China,Microbiological Contamination
I-005-535,18/04/23,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products,Local Authority,Bulgaria,Labelling Packaging Error
I-005-536,19/04/23,ALLERGEN: Peanuts,Cereals & Bakery Products,Local Authority,United Kingdom,Human Error
I-005-537,19/04/23,ALLERGEN: Sesame seeds,Cereals & Bakery Products,Other,United Kingdom,Labelling Packaging Error
I-005-538,19/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Veterinary Medicine
I-005-539,19/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Port Health Authority (PHA),,Microbiological Contamination
I-005-540,19/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Microbiological Contamination
I-005-541,19/04/23,Not Determined / Other,Meat & Meat Products (other than poultry),National Food Crime Unit (NFCU),United Kingdom,Unauthorised Premises/Process
I-005-542,19/04/23,ALLERGEN: Soya,Other Food Product / Mixed,Local Authority,China,Labelling Packaging Error
I-005-543,20/04/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-544,20/04/23,Not Determined / Other,Prepared Dishes & Snacks,Other,United Kingdom,Unknown
I-005-545,20/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-546,20/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-547,20/04/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-548,20/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-549,20/04/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,Food Standards Scotland (FSS),United Kingdom,Microbiological Contamination
I-005-550,20/04/23,Chemical Contamination (other),Other Food Product / Mixed,EU Member States,United Kingdom,Production Fault
I-005-551,20/04/23,Food Additives & Flavourings,Confectionery,Local Authority,Canada,Use of Unauthorised Ingredient
I-005-552,21/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Veterinary Medicine
I-005-553,21/04/23,Chemical Contamination (other),Fish & Fish Products,Port Health Authority (PHA),Faroe Islands,Natural Chemical Contamination
I-005-554,21/04/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Local Authority,United Kingdom,Unknown
I-005-555,21/04/23,ALLERGEN: Nuts,Cereals & Bakery Products,Industry,United Kingdom,Labelling Packaging Error
I-005-556,18/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Public Health England (PHE),,Microbiological Contamination
I-005-557,21/04/23,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Food Standards Scotland (FSS),United Kingdom,Labelling Packaging Error
I-005-558,21/04/23,Food Additives & Flavourings,Prepared Dishes & Snacks,Other,United States,Use of Unauthorised Ingredient
I-005-561,21/04/23,Chemical Contamination (other),Herbs & Spices,RASFF,China,Natural Chemical Contamination
I-005-562,21/04/23,Pathogenic Micro-Organisms,Feed Materials,RASFF,United Kingdom,Animal Feed
I-005-563,23/04/23,Pathogenic Micro-Organisms,Feed Materials,Other,United Kingdom,Microbiological Contamination
I-005-564,14/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-565,24/04/23,ALLERGEN: Cereals containing gluten,Prepared Dishes & Snacks,Industry,Mexico,Unknown
I-005-566,23/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-567,24/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Microbiological Contamination
I-005-568,24/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-569,24/04/23,Composition,Honey & Royal Jelly,Port Health Authority (PHA),Turkey,Fraud
I-005-570,24/04/23,Foreign Bodies,Nuts / Nut Products / Seeds,Industry,Netherlands,Production Fault
I-005-571,24/04/23,Pesticide Residues,Fruits & Vegetables,Port Health Authority (PHA),Turkey,Pesticides
I-005-572,24/04/23,Composition,Honey & Royal Jelly,Port Health Authority (PHA),,Fraud
I-005-573,21/04/23,Mycotoxins,Other Food Product / Mixed,Other,United Kingdom,Unknown
I-005-574,24/04/23,Food Additives & Flavourings,Confectionery,Local Authority,Hungary,Investigation Ongoing
I-005-575,24/04/23,Pesticide Residues,Other Food Product / Mixed,RASFF,United Kingdom,Pesticides
I-005-576,24/04/23,ALLERGEN: Mustard,Nuts / Nut Products / Seeds,RASFF,Turkey,Unknown
I-005-577,25/04/23,Pathogenic Micro-Organisms,Milk & Milk Products,Public Health England (PHE),United Kingdom,Microbiological Contamination
I-005-578,25/04/23,ALLERGEN: Milk,Meat & Meat Products (other than poultry),Local Authority,Spain,Labelling Packaging Error
I-005-579,25/04/23,Migration,Food Contact Materials,FSA Policy,Not Easily Identified,Migration of Chemicals
I-005-580,24/04/23,Poor or Insufficient Controls,Cocoa / Cocoa Preparations / Coffee / Tea,FSA Policy,China,Human Error
I-005-581,25/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-582,25/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-583,25/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-584,25/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-585,25/04/23,ALLERGEN: Peanuts,Herbs & Spices,Local Authority,Nigeria,Labelling Packaging Error
I-005-586,25/04/23,ALLERGEN: Milk,Confectionery,Local Authority,United Kingdom,Production Fault
I-005-588,25/04/23,Pesticide Residues,Nuts / Nut Products / Seeds,RASFF,India,Pesticides
I-005-589,27/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-590,26/04/23,ALLERGEN: Nuts,Herbs & Spices,RASFF,United Kingdom,Labelling Packaging Error
I-005-591,26/04/23,Pathogenic Micro-Organisms,Egg & Egg Products,Public Health England (PHE),Poland,Microbiological Contamination
I-005-592,26/04/23,Migration,Food Contact Materials,Port Health Authority (PHA),China,Migration of Chemicals
I-005-593,27/04/23,Food Additives & Flavourings,Fats & Oils,Local Authority,Ghana,Human Error
I-005-594,25/04/23,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,Port Health Authority (PHA),Ecuador,Microbiological Contamination
I-005-595,25/04/23,Chemical Contamination (other),Fish & Fish Products,FSA Survey,Wales,Unknown
I-005-596,28/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-597,27/04/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-598,27/04/23,ALLERGEN: Sulphur dioxide / Sulphites,Soups / Broths / Sauces & Condiments,Local Authority,United Kingdom,Labelling Packaging Error
I-005-599,27/04/23,Pesticide Residues,Nuts / Nut Products / Seeds,EU Member States,Spain,Pesticides
I-005-600,27/04/23,Pathogenic Micro-Organisms,Milk & Milk Products,Industry,United Kingdom,Microbiological Contamination
I-005-601,28/04/23,Pathogenic Micro-Organisms,Milk & Milk Products,Local Authority,United Kingdom,Microbiological Contamination
I-005-602,28/04/23,ALLERGEN: Nuts,Soups / Broths / Sauces & Condiments,Industry,United Kingdom,Human Error
I-005-603,26/04/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-604,27/04/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-605,28/04/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),EU Member States,Ireland,Microbiological Contamination
I-005-606,28/04/23,ALLERGEN: Mustard,Nuts / Nut Products / Seeds,EU Member States,Netherlands,Labelling Packaging Error
I-005-607,28/04/23,Mycotoxins,Nuts / Nut Products / Seeds,RASFF,Iran,Natural Chemical Contamination
I-005-608,28/04/23,ALLERGEN: Lupin,Prepared Dishes & Snacks,RASFF,United Kingdom,Human Error
I-005-609,28/04/23,Pesticide Residues,Herbs & Spices,RASFF,India,Pesticides
I-005-610,28/04/23,Pesticide Residues,Herbs & Spices,RASFF,India,Pesticides
I-005-611,30/04/23,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,Industry,United Kingdom,Microbiological Contamination
I-005-612,28/04/23,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Local Authority,United Kingdom,Unknown
I-005-613,01/05/23,ALLERGEN: Mustard,Nuts / Nut Products / Seeds,Industry,Turkey,Unknown
I-005-614,28/04/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),FSA England,,Unauthorised Premises/Process
